# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	6296
#@/user_id	f9354129-e4a8-46a3-a49d-309797c018cb
a 	啊	c=29 d=2.32019 t=6251
hao xiang dui 	好像對	c=1 d=1 t=2673
hao xiang shi 	好像是	c=1 d=1 t=3867
hao xiao xi 	好消息	c=1 d=1 t=5546
hao yi yuan 	好醫院	c=1 d=1 t=6209
hao yong 	好用	c=1 d=1 t=5817
hao yong de 	好用的	c=1 d=1 t=2049
he 	合	c=2 d=1.00002 t=5026
he 	和	c=53 d=1.38314 t=6080
he bing 	合併	c=11 d=1.20805 t=5600
he bing de 	合併的	c=1 d=1 t=2874
he bing hou 	合併後	c=1 d=1 t=5785
he bing le 	合併了	c=1 d=1 t=2814
he cheng 	合成	c=1 d=1 t=188
he dao 	合到	c=2 d=1.01036 t=4751
he jin 	合進	c=1 d=1 t=5028
he jin lai 	合進來	c=1 d=1 t=1722
he jin lai 	和進來	c=1 d=1 t=1720
he jin qu 	合進去	c=4 d=2.2158 t=5084
he jin qu de 	合進去的	c=1 d=1 t=4964
he jin qu le 	合進去了	c=1 d=1 t=4824
he le 	合了	c=1 d=1 t=6075
he le 	和了	c=1 d=1 t=555
he li 	合理	c=0 d=0.100035 t=5518
he mei mei 	和妹妹	c=0 d=0.1 t=6324
he mei mei liao liao tian 	和妹妹聊聊天	c=1 d=1 t=6325
he ni 	和你	c=1 d=1 t=1303
he qi ta 	和其他	c=1 d=1 t=2480
he shi 	合適	c=0 d=0.1 t=4742
he xian zai yi yang 	和現在一樣	c=1 d=1 t=2105
he zheng chang ren 	和正常人	c=1 d=1 t=6081
hen 	很	c=0 d=0.1005 t=6369
hen bu he li 	很不合理	c=1 d=1 t=115
hen chang 	很長	c=2 d=1 t=5155
hen chang de 	很長的	c=1 d=1 t=430
hen duo 	很多	c=7 d=2.91354 t=5760
hen duo shu ju 	很多數據	c=1 d=1 t=2280
hen fan chang 	很反常	c=1 d=1 t=2488
hen hao 	很好	c=1 d=1 t=3565
hen hao de 	很好的	c=1 d=1 t=2161
hen hao le 	很好了	c=0 d=0.1 t=5198
hen hun luan 	很混亂	c=1 d=1 t=3815
hen jiu 	很久	c=1 d=1 t=2301
hen kua zhang 	很誇張	c=1 d=1 t=3513
hen kuai de 	很快的	c=2 d=1.00007 t=3508
hen kuan 	很寬	c=1 d=1 t=2261
hen mi huo 	很迷惑	c=1 d=1 t=5310
hen ming xian 	很明顯	c=1 d=1 t=1905
hen nan 	很難	c=0 d=0.1 t=1037
hen nan shuo 	很難說	c=1 d=1 t=4397
hen nan xiang xiang 	很難想象	c=1 d=1 t=1038
hen ni tian 	很逆天	c=1 d=1 t=6370
hen qi guai 	很奇怪	c=1 d=1 t=2556
hen qing xi 	很清晰	c=1 d=0.855784 t=5876
hen qing xi le 	很清晰了	c=1 d=1 t=5877
hen rang ren 	很讓人	c=1 d=1 t=5048
hen shen 	很深	c=1 d=1 t=2257
hen tong ku 	很痛苦	c=0 d=0.1 t=5940
hen tong ku de 	很痛苦的	c=1 d=1 t=5941
hen xiao de 	很小的	c=1 d=1 t=3556
hen you yong 	很有用	c=1 d=1 t=892
hen yuan de 	很遠的	c=1 d=1 t=6352
heng xian 	橫線	c=1 d=1 t=2390
heng xiang 	橫向	c=1 d=1 t=1285
hong 	紅	c=1 d=1 t=4778
hong de 	紅的	c=1 d=1 t=253
hong huang 	紅黃	c=1 d=1 t=6033
hong se 	紅色	c=4 d=1.0073 t=5571
hou 	後	c=20 d=1.37409 t=6033
hou duan 	後段	c=1 d=1 t=835
hou duan 	後端	c=10 d=2.03524 t=6349
hou lai 	後來	c=1 d=0.66836 t=6016
hou lai you wen 	後來有問	c=1 d=1 t=6017
hou mian 	後面	c=7 d=1.00951 t=6328
hou tai 	後台	c=0 d=0.1 t=1851
hou tai fu wu 	後台服務	c=1 d=1 t=1852
hou xu 	後續	c=2 d=0.952241 t=5121
hou zhui 	後綴	c=1 d=1 t=2441
hu shuo 	胡說	c=1 d=1 t=6303
hua 	化	c=5 d=1.02239 t=5032
hua 	花	c=4 d=1.03053 t=6133
hua 	話	c=10 d=2.04943 t=5744
hua bu 	畫布	c=1 d=1 t=5276
hua dian 	花點	c=1 d=1 t=5325
hua dong 	滑動	c=2 d=2.04698 t=2103
hua dong tiao 	滑動條	c=2 d=1.94176 t=2108
hua fen 	劃分	c=1 d=1 t=5399
hua le 	花了	c=1 d=0.100168 t=5925
hua shi jian 	花時間	c=0 d=0.1 t=4155
hua ti 	話題	c=0 d=0.1 t=2594
hua yi 	畫一	c=0 d=0.1 t=249
hua yi ge 	畫一個	c=1 d=1 t=250
hua zheng 	華政	c=1 d=1 t=6148
huai chu 	壞處	c=0 d=0.1 t=195
huai chu ma 	壞處嗎	c=1 d=1 t=196
huan cheng 	換成	c=1 d=1 t=4600
huan cun 	緩存	c=2 d=1.00574 t=6037
huan hang 	換行	c=2 d=1.13457 t=3053
huan jing 	環境	c=1 d=1 t=1210
huan man 	緩慢	c=1 d=1.08511 t=5733
huan man xuan zhuan 	緩慢旋轉	c=1 d=1 t=5734
huan ye 	換頁	c=1 d=1 t=2433
huan zhang 	換張	c=0 d=0.1 t=4127
huang 	黃	c=1 d=1.09802 t=2476
huang bu liao 	黃不了	c=2 d=1.97531 t=2478
huang se 	黃色	c=1 d=1 t=2043
hui 	回	c=4 d=1.44009 t=2818
hui 	會	c=21 d=1.98247 t=6154
hui 	灰	c=1 d=1 t=2819
hui bei 	會被	c=1 d=1.00007 t=4744
hui bian 	會變	c=0 d=0.1 t=452
hui bian ma 	會變嗎	c=1 d=1 t=453
hui bu hui 	會不會	c=6 d=1.31506 t=6008
hui bu hui ying xiang 	會不會影像	c=1 d=1 t=238
hui chan sheng 	會產生	c=1 d=1 t=85
hui che 	回車	c=0 d=0.1 t=6033
hui che hou 	回車後	c=1 d=1 t=6034
hui da 	回答	c=8 d=2.81424 t=2942
hui dao 	回到	c=2 d=1.95123 t=1858
hui dao zhi 	會導致	c=1 d=1 t=2468
hui fa sheng 	會發生	c=1 d=1 t=2274
hui fa sheng shen me 	會發生什麼	c=2 d=1.31349 t=278
hui fan hui 	會返回	c=1 d=1 t=4411
hui fu 	回覆	c=1 d=1 t=91
hui fu le 	回覆了	c=1 d=1 t=6068
hui geng xin 	會更新	c=1 d=1 t=286
hui hao 	會好	c=0 d=0.1 t=5191
hui hao yi dian 	會好一點	c=1 d=1 t=5192
hui jiu jie 	會糾結	c=1 d=1 t=5109
hui kai shi zuo 	會開始做	c=1 d=1 t=2601
hui lai 	回來	c=2 d=1.14086 t=5945
hui lai le 	回來了	c=1 d=1 t=3021
hui lai zuo 	回來做	c=1 d=1 t=5813
hui qu 	回去	c=2 d=1.99005 t=3266
hui sui ji 	會隨機	c=1 d=1 t=4233
hui ting 	會聽	c=1 d=1 t=4181
hui xia che 	會瞎扯	c=1 d=1 t=3539
hui yi 	會議	c=1 d=1 t=3249
hui you 	會有	c=3 d=1.04494 t=5801
hui you dian 	會有點	c=1 d=0.567666 t=4869
hui you dian luan 	會有點亂	c=1 d=1 t=4870
hui zai 	會在	c=2 d=1.00068 t=5717
hui zen yang 	會怎樣	c=1 d=1 t=2917
hui zong 	彙總	c=0 d=0.1 t=3670
hui zong hou 	彙總後	c=1 d=1 t=3671
hui zu 	會租	c=1 d=1 t=6184
hun luan 	混亂	c=0 d=0.1 t=3814
huo 	或	c=6 d=1 t=5805
huo 	活	c=1 d=1 t=3065
huo de 	獲得	c=1 d=1 t=3340
huo dong 	活動	c=0 d=0.1 t=6287
huo qu 	獲取	c=4 d=1.00001 t=4511
huo zhe 	或者	c=2 d=1.00105 t=4994
huo zhe shuo 	或者說	c=1 d=1 t=3421
ji 	即	c=1 d=1 t=5516
ji 	及	c=1 d=1 t=4347
ji 	級	c=1 d=1 t=2680
ji ben 	基本	c=2 d=1.21225 t=1950
ji ben shang 	基本上	c=2 d=1 t=3076
ji bie 	級別	c=3 d=1.19794 t=6222
ji bie 	记别	c=1 d=1 t=2997
ji cheng 	繼承	c=1 d=1 t=69
ji chu 	基礎	c=0 d=0.1 t=5967
ji chu she shi 	基礎設施	c=0 d=0.1 t=3238
ji chu she shi gai jin 	基礎設施改進	c=1 d=1 t=3239
ji ci 	幾次	c=1 d=0.194894 t=4025
ji cun qi 	寄存器	c=2 d=1.00008 t=6367
ji de 	記得	c=1 d=1 t=852
ji de le 	記得了	c=1 d=1 t=6174
ji ge 	幾個	c=2 d=1.00209 t=5571
ji he 	集合	c=2 d=1.97531 t=305
ji hu 	幾乎	c=1 d=1 t=4648
ji hui 	機會	c=1 d=1 t=5995
ji huo 	激活	c=1 d=1 t=6171
ji ji 	積極	c=1 d=1 t=5948
ji ji mang mang 	急急忙忙	c=1 d=1 t=5353
ji ju 	幾句	c=0 d=0.1 t=4031
ji kai 	擠開	c=1 d=1 t=4326
ji ke 	即可	c=1 d=1 t=4220
ji lu 	記錄	c=13 d=2.45913 t=5678
ji lu xia lai 	記錄下來	c=1 d=1 t=3283
ji nian 	幾年	c=0 d=0.1 t=3877
ji nian le 	幾年了	c=1 d=1 t=3878
ji nian ri 	紀念日	c=1 d=1 t=4365
ji qiao 	基鞘	c=1 d=1 t=493
ji shen me 	急什麼	c=0 d=0.1 t=2474
ji shi 	即使	c=2 d=1.00005 t=3738
ji shu 	技術	c=1 d=1 t=6263
ji shu 	計數	c=1 d=1 t=2243
ji suan 	計算	c=6 d=3.57389 t=4844
ji suan mi ji xing 	計算密集型	c=1 d=1 t=3227
ji tian 	幾天	c=0 d=0.1 t=6069
ji tiao 	幾條	c=2 d=1.00005 t=6119
ji xu 	繼續	c=1 d=1.00267 t=2112
ji you 	既有	c=1 d=1 t=2249
ji yu 	基於	c=7 d=1.00002 t=5139
ji zhi 	機制	c=1 d=1 t=769
ji zhong 	集中	c=1 d=1 t=2913
ji zhong zai 	集中在	c=1 d=1 t=2926
jia 	假	c=0 d=0.1 t=4921
jia 	加	c=19 d=1.33563 t=5702
jia 	家	c=1 d=1 t=6094
jia ban 	加班	c=1 d=1.09851 t=6171
jia cu 	加粗	c=1 d=1 t=3851
jia da 	加大	c=1 d=1 t=5689
jia dao 	加到	c=2 d=1.24414 t=4848
jia dao 	駕導	c=1 d=1 t=4565
jia de 	假的	c=4 d=1.00758 t=6134
jia de 	加的	c=1 d=1 t=5108
jia de ya 	假的呀	c=1 d=1 t=5002
jia dong xi 	加東西	c=1 d=1 t=4156
jia ge 	加個	c=3 d=1.09828 t=3522
jia ge 	加戈	c=1 d=1 t=947
jia hao 	加好	c=0 d=0.1 t=3312
jia hao le 	加好了	c=2 d=1.99501 t=3314
jia hui 	加回	c=0 d=0.1 t=3722
jia hui dao 	加回到	c=1 d=1 t=3723
jia jin 	加進	c=0 d=0.1 t=6083
jia jin lai 	加進來	c=0 d=0.1 t=4126
jia jin lai ma 	加進來嗎	c=1 d=1 t=4127
jia jin le 	加進了	c=1 d=1 t=6084
jia jin qu 	加進去	c=2 d=0.505954 t=5931
jia jin qu le 	加進去了	c=1 d=1 t=4072
jia le 	加了	c=4 d=1.00049 t=4955
jia le 	家樂	c=1 d=1 t=158
jia li 	家裏	c=0 d=0.1 t=852
jia nei cun 	家內存	c=1 d=1 t=300
jia shang 	加上	c=4 d=1.02533 t=5590
jia shi 	加時	c=0 d=0.1 t=5325
jia shi 	駕駛	c=0 d=0.1 t=4659
jia shi jian 	加時間	c=1 d=1 t=5326
jia shi ti yan 	駕駛體驗	c=1 d=1 t=4660
jia shu ju 	假數據	c=4 d=1.8823 t=5233
jia wei 	價位	c=2 d=1.90937 t=4671
jia yi 	加一	c=0 d=0.1 t=1935
jia yi ge 	加一個	c=1 d=1 t=4524
jia yi xie 	加一些	c=3 d=1 t=5005
jia zai 	加載	c=4 d=2.04362 t=5514
jia zai na li 	加在那裡	c=1 d=1 t=5703
jia zai shi 	加載時	c=1 d=1 t=4394
jian 	件	c=0 d=0.1 t=469
jian 	建	c=1 d=1.00002 t=5931
jian 	見	c=2 d=1.98511 t=3268
jian 	間	c=0 d=0.1 t=5325
jian cha 	檢查	c=1 d=1 t=5680
jian chi 	堅持	c=0 d=0.1 t=6113
jian chi bu le 	堅持不了	c=1 d=1 t=6167
jian chu 	建出	c=0 d=0.1 t=3572
jian chu lai 	建出來	c=1 d=1 t=3573
jian dan 	簡單	c=1 d=1 t=3096
jian dan le 	簡單了	c=1 d=1 t=193
jian de 	建的	c=1 d=1 t=5317
jian diao 	剪掉	c=1 d=1 t=4745
jian ge 	見個	c=1 d=1 t=857
jian ge 	間隔	c=2 d=1.00434 t=1944
jian hao 	見好	c=0 d=0.1 t=6252
jian hao duo ci le 	見好多次了	c=1 d=1 t=6253
jian hua 	簡化	c=1 d=1 t=3988
jian jian 	尖尖	c=1 d=1 t=6148
jian jie 	簡潔	c=2 d=1 t=5406
jian jie you ya 	簡潔優雅	c=1 d=1 t=2871
jian kong 	監控	c=1 d=1 t=3241
jian kuo hao 	尖括號	c=3 d=2.88355 t=1449
jian le 	減了	c=1 d=1 t=6284
jian mian 	見面	c=1 d=1 t=3963
jian shao 	減少	c=1 d=1 t=5245
jian shen 	健身	c=1 d=1 t=6320
jian ta 	見他	c=0 d=0.1 t=6264
jian wan le 	建完了	c=1 d=1 t=4249
jian yi 	建議	c=3 d=0.703733 t=6234
jian yi de 	建議的	c=1 d=1 t=6235
jian yi shi 	建議是	c=1 d=1 t=6212
jian yue 	簡約	c=2 d=1.84789 t=3980
jiang 	將	c=13 d=1.02234 t=5672
jiang 	講	c=1 d=1 t=3389
jiang dao li 	講道理	c=1 d=1 t=6220
jiang de 	講的	c=0 d=0.1 t=3365
jiang le 	講了	c=0 d=0.1 t=4031
jiang le ji ju 	講了幾句	c=1 d=1 t=4032
jiang shi 	將士	c=1 d=1 t=4364
jiang shu ju 	將數據	c=1 d=1 t=3120
jiang su 	江蘇	c=1 d=1 t=4819
jiang ta 	將它	c=1 d=1 t=1697
jiao 	交	c=1 d=1 t=2117
jiao 	叫	c=4 d=1.00423 t=6053
jiao ben 	腳本	c=1 d=1 t=406
jiao gei ni 	交給你	c=1 d=1 t=4479
jiao hu 	交互	c=1 d=1 t=435
jiao ji 	交集	c=1 d=1 t=179
jiao luo 	角落	c=1 d=1 t=5328
jiao shen 	較深	c=2 d=1.92312 t=6045
jiao shen me 	叫什麼	c=1 d=1 t=4944
jiao zheng qi 	矯正器	c=1 d=1 t=6051
jie 	截	c=0 d=0.1 t=5482
jie de tu 	截的圖	c=1 d=1 t=721
jie dian 	節點	c=1 d=1 t=274
jie dian 	結點	c=2 d=1.00789 t=1970
jie dian hou 	結點後	c=1 d=1 t=283
jie duan 	階段	c=1 d=0.100024 t=3795
jie duan le 	階段了	c=1 d=1 t=3796
jie ge 	截個	c=1 d=1 t=5471
jie ge tu 	截个图	c=1 d=1 t=5480
jie gou 	結構	c=5 d=1.1218 t=5661
jie gou ti 	結構體	c=1 d=1 t=402
jie guo 	結果	c=4 d=1.00001 t=5937
jie he 	結合	c=1 d=1 t=4170
jie huo 	接活	c=1 d=1 t=6205
jie jin 	接近	c=3 d=1.12589 t=6174
jie jue 	解決	c=3 d=0.100055 t=6149
jie jue le 	解決了	c=2 d=1.98511 t=4090
jie kou 	接口	c=2 d=1.00001 t=3118
jie lun 	結論	c=2 d=1.95123 t=3666
jie shao 	介紹	c=1 d=1 t=2451
jie shi 	解釋	c=3 d=1.04329 t=5539
jie shou 	接收	c=1 d=1 t=154
jie shu 	結束	c=0 d=0.1 t=5173
jie tu 	截圖	c=1 d=1 t=715
jie tu 	解圖	c=1 d=1 t=714
jie wei 	結尾	c=1 d=1 t=527
jie xi 	解析	c=1 d=1 t=1700
jie xia lai 	接下來	c=1 d=0.236695 t=4137
jie yi xia 	截一下	c=1 d=1 t=5483
jie yue 	節約	c=1 d=1.09656 t=3269
jin 	僅	c=2 d=1.00492 t=3458
jin 	近	c=0 d=0.1 t=5617
jin 	進	c=1 d=1 t=5518
jin 	金	c=0 d=0.1 t=3230
jin chan chan 	金剷剷	c=1 d=1 t=3231
jin cheng 	進城	c=0 d=0.1 t=4939
jin cheng 	進程	c=1 d=1 t=4941
jin cheng de 	進城的	c=1 d=1 t=4940
jin chi 	矜持	c=0 d=0.1 t=5844
jin cou 	緊湊	c=1 d=1 t=4869
jin dao 	進到	c=1 d=1 t=4025
jin de 	進的	c=2 d=1.97531 t=4989
jin fu zhi 	僅賦值	c=1 d=1 t=1789
jin ge 	緊哥	c=1 d=1 t=6278
jin ke neng 	儘可能	c=1 d=1 t=4187
jin lai 	進來	c=1 d=1 t=3920
jin le 	進了	c=3 d=2.88839 t=4977
jin liang 	儘量	c=2 d=1 t=4577
jin mi 	緊密	c=0 d=0.1 t=4168
jin qu 	進去	c=4 d=1.15008 t=6004
jin qu le 	進去了	c=1 d=1 t=4788
jin qu le ya 	進去了呀	c=1 d=1 t=1656
jin ru 	進入	c=0 d=0.1 t=308
jin tian 	今天	c=13 d=1.75975 t=5681
jin xing 	進行	c=9 d=1.0633 t=5152
jin xing de 	進行的	c=1 d=1 t=233
jin xing xiu gai 	進行修改	c=0 d=0.1 t=351
jin yi ge yue 	近一個月	c=1 d=1 t=5618
jin you 	僅有	c=2 d=1.50409 t=2548
jin zao 	儘早	c=1 d=1 t=6215
jin zhan 	進展	c=2 d=1 t=6250
jin zhan shi 	進展是	c=1 d=1 t=2510
jing du 	精度	c=1 d=1 t=5249
jing guo 	經過	c=1 d=1 t=3921
jing que 	精確	c=0 d=0.1 t=5258
jiu 	久	c=3 d=1.11943 t=4821
jiu 	就	c=45 d=2.79386 t=6283
jiu an 	就按	c=1 d=1 t=4623
jiu bu 	就不	c=0 d=0.1 t=5407
jiu bu gei ni 	就不給你	c=1 d=1 t=1159
jiu bu kan le 	就不看了	c=1 d=1 t=4022
jiu bu shu 	就部署	c=1 d=1 t=3848
jiu bu zhi dao 	就不知道	c=0 d=0.1 t=1939
jiu bu zhi dao le 	就不知道了	c=1 d=1 t=5408
jiu deng 	就等	c=1 d=1 t=4344
jiu dui wo 	就對我	c=1 d=1 t=661
jiu gai 	就該	c=1 d=1 t=5858
jiu gei 	就給	c=1 d=1 t=1733
jiu gen 	就跟	c=0 d=0.1 t=5963
jiu gen ta shuo 	就跟他說	c=1 d=1 t=5964
jiu gua le 	就掛了	c=1 d=1 t=3799
jiu guan bu liao 	就管不了	c=1 d=1 t=4732
jiu hao le 	就好了	c=6 d=1.04157 t=5933
jiu hao le ba 	就好了吧	c=1 d=1 t=5213
jiu hao le ma 	就好了嗎	c=1 d=1 t=3410
jiu he 	就和	c=0 d=0.1 t=524
jiu he li 	就合理	c=1 d=1 t=3925
jiu he wo wu guan le 	就和我無關了	c=1 d=1 t=525
jiu hen hao le 	就很好了	c=1 d=1 t=5199
jiu hui 	就會	c=4 d=1.08208 t=4947
jiu jiao 	就叫	c=1 d=1 t=1132
jiu jie 	糾結	c=0 d=0.1 t=5108
jiu jue ding 	就決定	c=1 d=1 t=104
jiu ke yi 	就可以	c=1 d=1 t=5202
jiu ke yi de 	就可以的	c=1 d=1 t=1973
jiu ke yi le 	就可以了	c=4 d=1.17894 t=5715
jiu qu 	就去	c=1 d=1 t=3889
jiu shi 	就是	c=16 d=2.37313 t=6062
jiu shi ge 	就是個	c=1 d=1 t=5829
jiu shi le 	就是了	c=1 d=1 t=2440
jiu shi shuo 	就是說	c=1 d=1 t=3403
jiu shuo 	就說	c=1 d=1 t=1888
jiu suan 	就算	c=4 d=1 t=4721
jiu ti shi 	就提示	c=1 d=1 t=4334
jiu xing 	就行	c=0 d=0.1 t=4246
jiu xing le 	就行了	c=2 d=1.71177 t=3844
jiu xing le ba 	就行了吧	c=1 d=1 t=798
jiu xu yao 	就需要	c=2 d=1.75578 t=3167
jiu yao 	就要	c=1 d=1 t=595
jiu yi dian dian 	就一點點	c=1 d=1 t=566
jiu ying gai 	就應該	c=1 d=1 t=5090
jiu you le 	就有了	c=1 d=0.10205 t=3316
jiu you le ba 	就有了吧	c=1 d=1 t=3317
jiu zan lia 	就咱倆	c=1 d=1 t=3856
jiu zhe ge 	就這個	c=1 d=1 t=3126
jiu zhe me 	就這麼	c=1 d=1 t=1883
jiu zuo le 	就做了	c=1 d=1 t=4164
ju 	舉	c=0 d=0.1 t=3045
ju 	距	c=1 d=1 t=5531
ju he 	聚合	c=4 d=1.91319 t=5223
ju le 	拒了	c=1 d=1 t=2580
ju li zi 	舉例子	c=1 d=1 t=3046
ju ti 	具體	c=4 d=1.39087 t=5940
ju ti shi 	具體是	c=1 d=1 t=3445
ju ti shi jian 	具體時間	c=1 d=1 t=5638
ju ti wang le 	具體忘了	c=1 d=1 t=3199
ju you 	具有	c=2 d=1.00063 t=2698
juan le 	捲了	c=0 d=0.1 t=2687
jue de 	覺得	c=2 d=1 t=5256
jue ding 	決定	c=1 d=1 t=2725
jue dui shi 	絕對是	c=1 d=1 t=6266
jue se 	角色	c=0 d=0.1 t=4970
ka 	卡	c=0 d=0.100067 t=4802
ka de 	卡的	c=0 d=0.1 t=2947
ka pian 	卡片	c=1 d=1 t=2098
ka zai 	卡在	c=1 d=1 t=3795
kai 	開	c=0 d=0.1 t=3838
kai fa 	開發	c=2 d=1 t=5990
kai hui 	開會	c=0 d=0.100218 t=6011
kai hui a 	開會啊	c=1 d=1 t=3363
kai hui jiang de 	開會講的	c=1 d=1 t=3366
kai hui qian 	開會前	c=1 d=1 t=6012
kai qi 	開啓	c=2 d=1.99005 t=338
kai shi 	開始	c=3 d=1.00493 t=5497
kai shi zuo 	開始做	c=1 d=1 t=5908
kai wan 	開完	c=0 d=0.1 t=3597
kai wan hui 	開完會	c=1 d=0.982497 t=3623
kai xiang 	開箱	c=1 d=1 t=6106
kai yuan 	開源	c=0 d=0.1 t=5973
kai yuan de 	開源的	c=1 d=1 t=5974
kai yuan le ma 	開源了嗎	c=1 d=1 t=2607
kan 	看	c=14 d=1.67604 t=6261
kan ba 	看吧	c=0 d=0.1 t=665
kan bu chu lai 	看不出來	c=0 d=0.1 t=358
kan bu dao 	看不到	c=6 d=1.00027 t=5737
kan bu dong 	看不懂	c=1 d=0.1 t=4815
kan chu lai 	看出來	c=2 d=1.2865 t=5535
kan dao 	看到	c=9 d=0.271606 t=5983
kan de 	看得	c=1 d=1 t=5191
kan de ba 	看的吧	c=1 d=1 t=5176
kan diao 	砍掉	c=1 d=1 t=3723
kan dong 	看懂	c=0 d=0.1 t=3372
kan guo 	看過	c=0 d=0.1 t=5776
kan guo ma 	看過嗎	c=1 d=1 t=5777
kan jian 	看見	c=1 d=1 t=5754
kan jie guo 	看結果	c=1 d=1 t=3944
kan kan 	看看	c=10 d=1.13389 t=6211
kan kan neng bu neng 	看看能不能	c=1 d=1 t=5361
kan kan shi pin 	看看視頻	c=1 d=1 t=6324
kan le 	看了	c=2 d=0.130887 t=5976
kan le ma 	看了嗎	c=1 d=1 t=6096
kan qi lai 	看起來	c=12 d=1.74547 t=5813
kan wan 	看完	c=0 d=0.1 t=2200
kan xia 	看下	c=0 d=0.1 t=4435
kan yi xia 	看一下	c=6 d=1.00117 t=5611
kan yi yan 	看一眼	c=1 d=1 t=4982
kan zhe 	看着	c=4 d=1.0809 t=5819
kao bu zhu 	靠不住	c=0 d=0.1 t=3115
kao bu zhu le 	靠不住了	c=1 d=1 t=3116
kao lv 	考慮	c=3 d=1.87237 t=4400
kao pu 	靠譜	c=0 d=0.1 t=1677
ke 	可	c=1 d=1 t=5842
ke bu 	可不	c=0 d=0.1 t=2867
ke bu ke xing 	可不可行	c=1 d=1 t=2868
ke bu ke yi 	可不可以	c=0 d=0.1 t=2339
ke guan 	客觀	c=0 d=0.1 t=3516
ke guan yi dian 	客觀一點	c=1 d=1 t=3517
ke ji xu 	可繼續	c=1 d=1 t=1253
ke ji xu zhan kai 	可繼續展開	c=1 d=1 t=1247
ke jian xing 	可見性	c=1 d=1 t=3913
ke nan 	柯南	c=2 d=1.43605 t=6262
ke neng 	可能	c=11 d=1.63792 t=6286
ke neng bao han 	可能包含	c=1 d=1 t=1013
ke neng bi jiao 	可能比較	c=1 d=1 t=3238
ke neng de 	可能的	c=2 d=1.81058 t=5126
ke neng hui 	可能會	c=1 d=1 t=5154
ke neng hui you ba 	可能會有吧	c=1 d=1 t=1043
ke neng shi 	可能是	c=2 d=1.00002 t=4015
ke shi hua 	可視化	c=1 d=1 t=327
ke xing 	可行	c=1 d=0.100004 t=2867
ke xuan 	可選	c=2 d=1.9802 t=2769
ke xuan xiang 	可選項	c=0 d=0.1 t=2775
ke yi 	可以	c=32 d=2.82157 t=6241
ke yi ba 	可以把	c=1 d=1 t=5939
ke yi bang mang 	可以幫忙	c=1 d=1 t=3396
ke yi bei 	可以被	c=1 d=1 t=503
ke yi bu 	可以不	c=0 d=0.1 t=374
ke yi bu xu yao 	可以不需要	c=1 d=1 t=375
ke yi dui 	可以對	c=1 d=1 t=2709
ke yi kan 	可以看	c=1 d=1 t=5223
ke yi le 	可以了	c=2 d=1.00857 t=5760
ke yi le ba 	可以了吧	c=1 d=1 t=2413
ke yi ma 	可以嗎	c=1 d=1 t=232
ke yi shi 	可以是	c=1 d=1 t=6112
ke yi you 	可以有	c=1 d=1 t=2754
ke yi zai 	可以再	c=2 d=1.00156 t=4618
ke yi zai 	可以在	c=1 d=1 t=1508
ke yong 	可用	c=0 d=0.1 t=1238
ken ding 	肯定	c=11 d=1.31707 t=5481
ken ding hui 	肯定會	c=0 d=0.101608 t=4964
ken ding hui dai shang de 	肯定會帶上的	c=1 d=1 t=4965
ken ding hui you 	肯定會又	c=1 d=1 t=4139
ken ding shi 	肯定是	c=1 d=1 t=4970
kong 	空	c=4 d=1.12874 t=5507
kong bai 	空白	c=2 d=1.0002 t=4103
kong de 	空的	c=2 d=1.92312 t=1884
kong ge 	空格	c=4 d=1 t=6333
kong jian 	空間	c=2 d=1.06891 t=5824
kong jian bu zu 	空間不足	c=1 d=1 t=2085
kong jian le 	空間了	c=1 d=1 t=2102
kong zhe 	空着	c=1 d=1 t=4925
kong zhi 	空值	c=1 d=1 t=1252
kong zhi de 	控制的	c=1 d=1 t=6357
kou 	口	c=0 d=0.1 t=6225
ku 	庫	c=2 d=1.00085 t=2606
kua zhang 	誇張	c=0 d=0.1 t=3512
kuai 	快	c=1 d=1 t=3769
kuai jie jian 	快捷鍵	c=1 d=1 t=2212
kuai le 	快了	c=3 d=1 t=3221
kuai su 	快速	c=1 d=1 t=2405
kuan 	寬	c=1 d=1 t=4877
kuan dai 	寬帶	c=1 d=0.100053 t=6279
kuan dai ye shi 	寬帶也是	c=1 d=1 t=6280
kuan du 	寬度	c=5 d=2.88085 t=5881
kuan le 	寬了	c=0 d=0.1 t=1287
kuang 	框	c=7 d=5.31865 t=2758
kuang nei 	框內	c=0 d=0.1 t=2392
kun le 	困了	c=1 d=1 t=5116
kuo hao 	括號	c=1 d=1 t=3534
la 	拉	c=2 d=1.00002 t=5726
la chu 	拉出	c=1 d=1 t=6117
la chu lai 	拉出來	c=1 d=1 t=6140
la de 	拉的	c=0 d=0.1 t=6168
la de ma 	拉的嗎	c=1 d=1 t=6169
la jin 	拉進	c=0 d=0.1 t=5642
la jin qun 	拉進羣	c=1 d=1 t=5643
la qu 	拉取	c=4 d=1.00007 t=5130
la shou 	拉手	c=0 d=0.1 t=6251
la shou le mei 	拉手了沒	c=1 d=1 t=6252
la ta de shou 	拉她的手	c=1 d=1 t=3983
lai 	來	c=7 d=1.49477 t=5715
lai bu ji 	來不及	c=2 d=1.82565 t=5340
lai bu ji le 	來不及了	c=1 d=1 t=5494
lai chuang jian 	來創建	c=1 d=1 t=3751
lai de 	來的	c=2 d=1.00019 t=6354
